NAME,TRAINER,AGE,DATE,RaceID,SESSION,CONDITIONS,W_TIME,WEIGHT,BOX,BREAK,TURN1,LF1,TURN2,LF2,FINISH,LENGTHS,TIME,CLASS,COMMENT,DAYS_REST,FT3,FT12,AB3,AB12,AF3,AF12,T3,T12,AG3,AG12,PLACED,WIN,Placings,Wins,STARTS,WinP,PlaceP
WW LITTLE TOYE,TIJUANA,3,2021-03-12,ID20210312E4,E,F,30.97,62.0,2,8,8,0.0,7,0.0,6,-5.0,31.32,0,"Not Prominent, Mk",5,31.02,30.17,5.0,5.083333333333333,3.6666666666666665,2.8333333333333335,31.163333333333338,30.825833333333335,2.0,2.5833333333333335,0,0,8.0,5.0,12,0.42,0.67
BGR PARTY ANIMAL,RIO GRANDE,1,2021-03-16,ID20210316E9,E,F,30.3,66.0,7,8,7,0.0,6,0.0,6,-8.5,30.91,0,"No Real Menace, Ins",3,31.13,30.48,3.6666666666666665,4.666666666666667,2.3333333333333335,3.4166666666666665,31.213333333333335,31.006666666666664,2.3333333333333335,2.8333333333333335,0,0,6.0,1.0,12,0.08,0.5
WW LITTLE TOYE,TIJUANA,3,2021-03-20,ID20210320A9,A,F,30.86,64.0,1,8,6,0.0,5,0.0,4,-9.5,31.54,0,"Drove Late, Inside",4,31.02,30.17,6.666666666666667,5.5,5.333333333333333,3.25,31.16,30.86916666666667,2.0,2.5833333333333335,0,0,8.0,5.0,13,0.38,0.62
BGR PARTY ANIMAL,RIO GRANDE,1,2021-03-20,ID20210320E5,E,F,31.05,66.0,3,6,3,0.0,2,0.0,1,3.0,31.05,1,"Won Driving, Inside",4,30.91,30.48,5.666666666666667,4.75,4.0,3.75,31.14,31.015,2.0,2.25,1,1,6.0,1.0,13,0.08,0.46
BGR SUGAR DADDY,RIO GRANDE,2,2021-03-20,ID20210320E4,E,F,31.05,71.5,5,2,2,0.0,2,0.0,3,-3.5,31.29,0,"Saved Show, Inside",3,31.07,30.56,4.666666666666667,4.416666666666667,3.0,3.3333333333333335,31.363333333333333,31.1075,0.0,2.25,1,0,6.0,3.0,12,0.25,0.5
BGR SUGAR DADDY,RIO GRANDE,2,2021-03-23,ID20210323A4,A,F,30.59,71.5,6,4,3,0.0,3,0.0,4,-5.5,30.96,0,"Gave Some, Inside",3,31.07,30.56,3.3333333333333335,4.5,2.6666666666666665,3.5,31.356666666666666,31.125833333333333,0.0,2.25,0,0,7.0,3.0,13,0.23,0.54
WW LITTLE TOYE,TIJUANA,3,2021-03-23,ID20210323E7,E,F,30.88,64.0,5,5,7,0.0,6,0.0,4,-4.5,31.19,7,"Good Effort, Inside",3,31.14,30.17,7.333333333333333,5.916666666666667,4.333333333333333,3.5,31.333333333333332,30.948333333333334,0.0,2.0833333333333335,0,0,8.0,5.0,14,0.36,0.57
BGR PARTY ANIMAL,RIO GRANDE,1,2021-03-23,ID20210323E4,E,F,30.66,65.0,6,4,3,0.0,2,0.0,1,1.5,30.66,0,Grabbed Late Lead,3,30.91,30.48,6.0,4.75,3.6666666666666665,3.5,31.073333333333334,31.015,2.3333333333333335,2.3333333333333335,1,1,7.0,2.0,14,0.14,0.5
BGR MOVIN OUT,PACIFICO,1,2021-03-24,ID20210324E9,E,F,30.45,76.0,1,2,3,0.0,3,0.0,3,-2.0,30.58,0,Even Pace To Show,3,30.55,30.47,5.0,3.5833333333333335,3.3333333333333335,3.0,30.99333333333333,31.016666666666666,2.3333333333333335,3.5833333333333335,1,0,7.0,4.0,12,0.33,0.58
WW LITTLE TOYE,TIJUANA,3,2021-03-27,ID20210327A8,A,F,31.18,62.5,8,4,5,0.0,5,0.0,3,-3.5,31.44,1,Closed Fast To Show,4,31.19,30.17,7.0,5.833333333333333,4.666666666666667,3.5,31.349999999999998,30.98333333333333,2.3333333333333335,2.6666666666666665,1,0,8.0,5.0,15,0.33,0.53
BELLA TRUTHFUL,LA FIESTA,2,2021-03-28,ID20210328A4,A,F,30.56,74.0,3,1,1,3.0,1,4.0,1,3.5,30.56,6,"Wire To Wire, Won",5,30.3,30.18,3.0,3.9166666666666665,3.3333333333333335,3.5,30.866666666666664,31.04416666666667,0.0,1.5,1,1,6.0,5.0,12,0.42,0.5
BGR SUGAR DADDY,RIO GRANDE,2,2021-03-28,ID20210328A9,A,F,30.79,71.5,2,6,7,0.0,7,0.0,7,-16.0,31.92,0,"No Real Menace, Ins",5,30.96,30.56,3.0,4.25,3.0,3.5,31.106666666666666,31.109166666666667,0.0,1.6666666666666667,0,0,7.0,3.0,14,0.21,0.5
KILLER ARWEN,PACIFICO,2,2021-03-28,ID20210328A7,A,F,30.62,59.0,5,5,6,0.0,6,0.0,7,-8.5,31.21,1,"No Real Menace, Ins",5,30.78,30.62,6.333333333333333,5.416666666666667,5.333333333333333,5.083333333333333,31.113333333333333,31.396666666666665,0.0,3.25,0,0,2.0,0.0,12,0.0,0.17
BGR MOVIN OUT,PACIFICO,1,2021-03-28,ID20210328A9,A,F,30.79,75.0,5,3,5,0.0,5,0.0,4,-9.0,31.43,0,"Good Effort, Inside",4,30.55,30.47,4.0,3.6666666666666665,3.0,3.1666666666666665,30.826666666666664,31.011666666666667,2.3333333333333335,3.1666666666666665,0,0,8.0,4.0,13,0.31,0.62
WT'S PIERCING,LOS TAXIS,3,2021-03-30,ID20210330A3,A,F,30.89,65.0,1,3,6,0.0,7,0.0,7,-17.5,32.13,3,"Fast Decline, Inside",3,31.48,30.92,7.0,6.25,4.0,4.0,31.73333333333333,31.460833333333337,2.6666666666666665,3.0833333333333335,0,0,4.0,0.0,12,0.0,0.33
MEGA TALL TALE,RIO GRANDE,2,2021-03-30,ID20210330E8,E,F,31.13,69.0,5,4,3,0.0,4,0.0,7,-9.0,31.77,7,Faded On Inside,3,31.2,30.76,1.6666666666666667,2.0,3.3333333333333335,3.3333333333333335,31.31,31.227500000000003,3.0,2.3333333333333335,0,0,7.0,2.0,12,0.17,0.58
FLYING CHAMBER,PACIFICO,3,2021-03-30,ID20210330E5,E,F,31.02,70.5,3,5,7,0.0,7,0.0,8,-13.0,31.93,2,"Not Prominent, Ins",3,31.45,30.88,4.333333333333333,4.666666666666667,4.666666666666667,4.666666666666667,31.67,31.416666666666668,7.666666666666667,4.666666666666667,0,0,5.0,1.0,12,0.08,0.42
BGR PARTY ANIMAL,RIO GRANDE,1,2021-03-30,ID20210330A9,A,F,31.22,66.0,6,5,4,0.0,4,0.0,3,-2.5,31.4,0,"Up For Show, Mk",3,30.66,30.52,6.0,4.666666666666667,2.6666666666666665,3.4166666666666665,30.873333333333335,31.03,0.3333333333333333,2.3333333333333335,1,0,8.0,3.0,15,0.2,0.53
BELLA TRUTHFUL,LA FIESTA,2,2021-03-31,ID20210331E9,E,F,31.23,71.5,8,6,6,0.0,7,0.0,5,-12.0,32.08,0,"Late Gain, Inside",3,30.38,30.18,2.6666666666666665,3.6666666666666665,3.3333333333333335,3.25,30.953333333333333,30.980833333333333,2.0,2.0,0,0,7.0,6.0,13,0.46,0.54
BGR SUGAR DADDY,RIO GRANDE,2,2021-03-31,ID20210331E8,E,F,30.77,69.5,7,1,1,3.0,1,3.0,2,-0.1,30.78,1,Nipped At Wire,3,30.96,30.68,4.0,4.5,4.666666666666667,4.0,31.39,31.222499999999997,0.0,1.0833333333333333,1,0,7.0,3.0,15,0.2,0.47
MEGA NIEKRO,LA FIESTA,2,2021-03-31,ID20210331E9,E,F,31.23,69.5,4,2,2,0.0,2,0.0,2,-3.0,31.43,0,Even Pace To Place,4,30.59,30.59,2.0,2.8333333333333335,3.6666666666666665,3.25,31.103333333333335,31.180000000000003,2.0,1.0833333333333333,1,0,8.0,5.0,12,0.42,0.67
KEYED UP,NEWPORT,3,2021-03-31,ID20210331E7,E,F,31.01,71.0,6,7,8,0.0,7,0.0,7,-7.5,31.53,2,"Not Prominent, Mk",4,31.08,30.3,4.0,2.3333333333333335,6.0,3.75,31.566666666666663,31.060000000000002,3.3333333333333335,4.083333333333333,0,0,6.0,3.0,12,0.25,0.5
KILLER ARWEN,PACIFICO,2,2021-03-31,ID20210331E8,E,F,30.77,60.0,2,7,6,0.0,6,0.0,6,-8.0,31.34,1,"Not Prominent, Ins",3,31.0,30.62,6.666666666666667,5.5,6.333333333333333,5.083333333333333,31.256666666666664,31.25916666666667,0.3333333333333333,3.0833333333333335,0,0,2.0,0.0,13,0.0,0.15
BGR MOVIN OUT,PACIFICO,1,2021-04-01,ID20210401E4,E,F,31.08,75.5,8,4,6,0.0,5,0.0,5,-4.5,31.38,0,"Varied, Inside",4,30.55,30.47,3.3333333333333335,3.8333333333333335,3.0,3.4166666666666665,30.853333333333335,31.034999999999997,2.3333333333333335,2.5833333333333335,0,0,8.0,4.0,14,0.29,0.57
FLYING CHAMBER,PACIFICO,3,2021-04-03,ID20210403E4,E,F,31.33,70.0,7,2,2,0.0,5,0.0,5,-8.0,31.89,2,"Early Speed, Gave",4,31.69,30.88,4.0,4.75,5.666666666666667,4.75,31.83,31.455,6.0,4.833333333333333,0,0,5.0,1.0,13,0.08,0.38
