NAME,TRAINER,AGE,DATE,RaceID,SESSION,CONDITIONS,W_TIME,WEIGHT,BOX,BREAK,TURN1,LF1,TURN2,LF2,FINISH,LENGTHS,TIME,CLASS,COMMENT,DAYS_REST
ABBY AZALEA,PURO ORO,1,2021-07-23,ID20210723E1,E,F,30.64,63.0,2,2,3,0.0,3,0.0,3,-13.0,31.55,SM,Even Pace To Show,0
ABBY AZALEA,PURO ORO,1,2021-07-27,ID20210727A1,A,F,31.54,61.5,6,1,1,4.0,1,4.5,1,3.5,31.54,TM,"Box To Wire, Inside",4
ADDICTIVE,NEWPORT,2,2020-12-11,ID20201211E8,E,F,30.76,60.0,6,8,5,0.0,4,0.0,4,-8.0,31.33,C,"Gained Some, Inside",5
ADDICTIVE,NEWPORT,2,2021-02-12,ID20210212E8,E,F,30.93,59.5,8,7,7,0.0,6,0.0,5,-10.0,31.64,SC,"Late Gain, Inside",5
ADDICTIVE,NEWPORT,3,2021-03-13,ID20210313E10,E,F,31.03,59.5,6,4,8,0.0,8,0.0,8,-18.5,32.34,D,"Never A Threat, Ins",4
ADDICTIVE,NEWPORT,3,2021-03-16,ID20210316A6,A,F,30.64,60.0,7,5,6,0.0,6,0.0,6,-13.0,31.55,D,"No Real Menace, Ins",3
ADDICTIVE,NEWPORT,3,2021-03-28,ID20210328E3,E,F,31.3,60.5,7,6,7,0.0,7,0.0,7,-9.5,31.98,D,"Same Pace, Inside",4
ADDICTIVE,NEWPORT,3,2021-05-23,ID20210523A6,A,F,31.92,60.5,2,3,6,0.0,8,0.0,8,-13.0,32.83,D,Faded On Inside,4
ADDICTIVE,NEWPORT,3,2021-05-27,ID20210527E3,E,F,31.56,60.0,6,4,7,0.0,7,0.0,8,-11.5,32.35,D,Tired On Outside,4
ADDICTIVE,NEWPORT,3,2021-05-30,ID20210530E3,E,F,30.97,61.0,1,1,4,0.0,5,0.0,7,-12.0,31.82,SD,"Not A Factor, Inside",3
ADDICTIVE,NEWPORT,3,2021-06-12,ID20210612A10,A,F,30.76,61.0,6,2,8,0.0,8,0.0,8,-17.5,31.97,D,"Never Figured, Ins",13
ADDICTIVE,NEWPORT,3,2021-06-15,ID20210615E1,E,F,31.55,60.0,3,1,4,0.0,4,0.0,5,-4.5,31.86,TE,"Faded On, Inside",3
ADDICTIVE,NEWPORT,3,2021-06-22,ID20210622E2,E,F,31.53,61.0,1,1,7,0.0,7,0.0,7,-13.5,32.46,SE,"Fast Decline, Inside",3
ADDICTIVE,NEWPORT,3,2021-06-27,ID20210627A2,A,F,31.5,61.0,6,4,7,0.0,8,0.0,8,-21.0,32.96,SE,"Fast Decline, Inside",5
ADDICTIVE,NEWPORT,3,2021-06-29,ID20210629E2,E,F,31.82,61.0,2,1,4,0.0,5,0.0,6,-9.5,32.49,E,"No Real Menace, Ins",2
ADDICTIVE,NEWPORT,3,2021-07-04,ID20210704A2,A,F,31.49,61.0,8,5,8,0.0,8,0.0,8,-16.5,32.66,TE,"Never Figured, Ins",5
ADDICTIVE,NEWPORT,3,2021-07-07,ID20210707E2,E,F,31.56,60.0,7,6,3,0.0,2,0.0,1,1.0,31.56,SE,Determined To Win,3
ADDICTIVE,NEWPORT,3,2021-07-11,ID20210711E6,E,F,31.29,60.0,7,7,8,0.0,8,0.0,7,-12.5,32.17,D,"Never Figured, Mk",4
ADDICTIVE,NEWPORT,3,2021-07-16,ID20210716E10,E,F,30.98,60.5,2,2,3,0.0,3,0.0,4,-8.0,31.54,D,Weakened On Stretch,5
ADDICTIVE,NEWPORT,3,2021-07-25,ID20210725A3,A,F,31.37,60.0,3,8,8,0.0,8,0.0,8,-14.0,32.36,D,"Never In It, Inside",9
ADDICTIVE,NEWPORT,3,2021-07-28,ID20210728E6,E,F,31.22,61.5,3,4,7,0.0,6,0.0,6,-9.0,31.84,D,"Not Prominent, Ins",3
ADVANTAGE,NEWPORT,3,2021-03-05,ID20210305E7,E,F,30.61,84.0,6,7,6,0.0,6,0.0,6,-15.0,31.67,SB,"Same Effort, Inside",46
ADVANTAGE,NEWPORT,3,2021-03-18,ID20210318E6,E,F,31.19,84.5,8,7,3,0.0,3,0.0,3,-3.5,31.45,SC,Same Effort To Show,9
ADVANTAGE,NEWPORT,3,2021-04-01,ID20210401E6,E,F,31.2,83.5,1,8,4,0.0,5,0.0,5,-10.5,31.94,C,Gave On Inside,4
ADVANTAGE,NEWPORT,3,2021-04-08,ID20210408E6,E,F,31.3,83.0,8,8,7,0.0,6,0.0,6,-10.5,32.05,C,"Late Gain, Mk",4
ADVANTAGE,NEWPORT,3,2021-04-27,ID20210427E4,E,F,31.12,83.0,2,2,2,0.0,3,0.0,1,1.0,31.12,C,Grabbed Late Lead,3
