1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Timestamp,ist Ihnen Umweltschutz wichtig?,wenn Sie diese M�glichkeit gew�hlt haben:,Haben Sie Erg�nzungen oder andere Vorschl�ge?,wenn Sie diese M�glichkeit gew�hlt haben:,Haben Sie Erg�nzungen oder andere Vorschl�ge?,wenn Sie diese Möglichkeit gewählt haben:,Spielt das max. Paketgewicht von 2 KG f�r Sie eine Rolle?,Haben Sie Ergänzungen oder andere Vorschläge?,wenn Sie diese Möglichkeit gewählt haben:,Haben Sie Ergänzungen oder andere Vorschläge?,wenn Sie diese Möglichkeit gewählt haben:,"Wenn Sie bereit sind zu warten, wie lange würden Sie warten?",Haben Sie Ergänzungen oder andere Vorschläge?,Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz nur eines Zustellers ],Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von autonomen (fahrerlosen) Robotern],Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Drohnen],Bitte ordnen Sie die Optionen entsprechend Ihrer Pr�ferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Packstationen],Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [L�ngere Wartezeiten in Kauf nehmen ],Und warum war es Ihr Favorit?,"Was halten Sie von der Möglichkeit, sich anzeigen zu lassen,wieviel CO2 Sie persönlich durch eine Aktion eingespart haben.",Geschlecht,Alter,Berufst�tigkeit ,Haushaltsgr��e,Wie sind die ersten beiden Ziffern ihrer PLZ:,Wohnsituation,Social Media: Ich nutze folgende Dienste:
2021/06/01 11:08:08 am EET,außerordentlich,"0,10 - 0,50 Euro","nein, keine Vorschläge",,,,,,,,,,,1,3,2,3,3,Es hat die meisten Vorteile,ganz nett,männlich,66+,Teilzeit,01-Feb,44,städtisch,Facebook;Twitter;Instagram;Linkedin
2021/06/01 11:32:41 am EET,ja,"1,51 - 2,00 Euro",,um Umweltprojekte im Inn- und Ausland mitzufinanzieren,,um Umweltprojekte im Inn- und Ausland mitzufinanzieren,"ja, aber diese Zustellungsart steckt noch in den Anfängen",,"ja, bei schlechtem Wetter",,"ich erwarte nichts, ich mache es ausschließlich für die Umwelt",bis zu zwei Tagen,,5,3,3,2,3,,brauche ich nicht,männlich,56-65,,01-Feb,12,städtisch,Facebook;Instagram
2021/06/01 11:35:15 am EET,nicht immer,"0,51 - 1,00 Euro",,,,,,,,,,,,1,4,5,2,3,Für mich persönlich die optimale Lösung,ganz nett,männlich,46-55,Vollzeit,01-Feb,44,städtisch,Facebook
2021/06/01 9:42:18 pm EET,ja,"1,01 - 1,50 Euro",,,,,,,,,,,,1,5,5,2,2,,ganz nett,weiblich,66+,Teilzeit,01-Feb,45,städtisch,keine Social Media Nutzung
2021/06/02 6:13:32 am EET,außerordentlich,"0,10 - 0,50 Euro",,um Umweltprojekte im Inn- und Ausland mitzufinanzieren,,um Umweltprojekte im Inn- und Ausland mitzufinanzieren,"ja, aber diese Zustellungsart steckt noch in den Anfängen",,"ja, wenn ich unter Zeitdruck bin",,"ich erwarte nichts, ich mache es ausschließlich für die Umwelt",bis zu drei Tagen,,4,2,2,1,3,"Weil oft viele Pakete verteilt über den Tag ankommen, das kann besser geregelt werden und somit die Fahrer und den Verkehr entlasten. Ich wäre auch  bereit das mit den längeren Wartezeiten zu kombinieren und somit mehr die Umwelt zu entlasten. ",außerordentlich gut,weiblich,26-35,Vollzeit,03-Apr,45,städtisch,Facebook
2021/06/03 12:18:50 pm EET,ja,"0,10 - 0,50 Euro",,um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen,,um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen,"ja, aber diese Zustellungsart steckt noch in den Anfängen",,"ja, wenn das Paket zu schwer ist",,ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten,bis zu drei Tagen,,1,4,4,3,3,,brauche ich nicht,männlich,26-35,Vollzeit,01-Feb,4,städtisch,Instagram
2021/06/03 12:23:47 pm EET,ja,"0,51 - 1,00 Euro","Uhrzeit vorher bekannt geben, sodass man eine Möglichkeit hat zuhause zu sein (2. Zustellversuch vermeiden) ",um die Preise für die Paketauslieferung zu senken,,um Bildungsangebote für präker Beschäftigte zu unterstützen,"ja, aber diese Zustellungsart steckt noch in den Anfängen",,"ja, wenn das Paket zu schwer ist",,,max. einen Tag,,3,2,2,1,4,,ganz nett,weiblich,26-35,Vollzeit,01-Feb,45,städtisch,Facebook;Instagram
2021/06/03 12:24:29 pm EET,ja,"0,10 - 0,50 Euro",,,,,"ja, aber diese Zustellungsart steckt noch in den Anfängen",,"ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin",,ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten,bis zu zwei Tagen,,1,5,4,2,3,,ganz nett,männlich,46-55,Vollzeit,03-Apr,45,städtisch,Facebook;Twitter;Instagram;Linkedin;andere Social Media
2021/06/03 12:25:59 pm EET,nicht immer,keine weitere Gebühr,,um die Preise für die Paketauslieferung zu senken,,um die Preise für die Paketauslieferung zu senken,"nein, weil meine Pakete nie so viel wiegen",,"ja, wenn das Paket zu schwer ist",,,,,2,4,3,1,5,"Ich nutze die Parkstation sehr gerne und viel, weil ich damit flexibel bin ",brauche ich nicht,männlich,26-35,Vollzeit,01-Feb,40,städtisch,keine Social Media Nutzung
