Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-21,,weiblich,26-35,ländlich,Vollzeit,1-2,42,Facebook;Instagram
Participant-28,"Durch E-Autos umweltfreundlich, daz alles aus einer Hand da nur ein Zulieferer.",männlich,46-55,städtisch,Vollzeit,1-2,46,Facebook
Participant-45,Sicherste Auswahl ,weiblich,26-35,städtisch,Teilzeit,3-4,45,Instagram;andere Social Media
Participant-67,"Vorfreude ist die schoenste Freude! Ein paar Tage laenger zu warten ist fuer mich kein Problem. Ausnahmen sollte es allerdings geben, z.B. wenn der Kuehlschrank defekt ist.",weiblich,46-55,städtisch,,1-2,59,Facebook
Participant-73,,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-86,"Für Menschen am besten, wenn keine Roboter ihre Arbeit übernehmen, ausser es gibt das bedingungslose Grundeinkommen. Mit dem Anderen, dass kann ich mir gut vorstellen, es muss nicht immer alles sofort verfügbar sein.",weiblich,36-45,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-107,Die längeren Wartezeiten sind das kleinste übel. Alle anderen Möglichkeiten ziehen andere negative Aspekte hinter sich.,weiblich,36-45,städtisch,Teilzeit,1-2,41,keine Social Media Nutzung
Participant-109,Flachdach.0,männlich,26-35,städtisch,Vollzeit,1-2,44135,Instagram
Participant-113,"alles andere ist im ländlichen raum sinnlos, zur packstation muß ich 4 kilometer fahren",weiblich,56-65,ländlich,Vollzeit,1-2,78,keine Social Media Nutzung
Participant-117,,männlich,66+,städtisch,,1-2,44,Facebook;andere Social Media
Participant-129,,männlich,26-35,städtisch,Vollzeit,3-4,45,keine Social Media Nutzung
Participant-139,,männlich,36-45,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-155,,männlich,26-35,ländlich,Vollzeit,4+,,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-181,,männlich,36-45,städtisch,Vollzeit,3-4,44,Instagram;Linkedin
Participant-196,Annahme planbar ,männlich,36-45,städtisch,Vollzeit,3-4,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-197,Wegen der Reduzierung des Fahraufkommens,männlich,56-65,städtisch,Vollzeit,1-2,56,keine Social Media Nutzung
Participant-201,Nur eine Störung am Tag. ,weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-205,Kompakte Lieferung,männlich,56-65,städtisch,Vollzeit,1-2,44,Linkedin;andere Social Media
Participant-230,Ist am einfachsten umzusetzen und spart damit am schnellsten CO2,weiblich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-240,"bei aller Liebe, ist immer noch am persönlichsten",männlich,56-65,städtisch,Vollzeit,1-2,44,Instagram
Participant-257,Ist aus meiner Sicht die sinnvollste und einfachste Lösung,männlich,36-45,städtisch,Vollzeit,1-2,45,Linkedin
Participant-283,spricht mich mehr an,weiblich,66+,städtisch,Teilzeit,1-2,44,Facebook
Participant-291,viele Vorteile,weiblich,17-25,ländlich,,3-4,41,Facebook;Instagram
Participant-300,,männlich,,städtisch,,1-2,44,andere Social Media
Participant-314,Ich muss nicht ständig zur Tür laufen und versuchen Termine zu koordinieren.,weiblich,46-55,städtisch,Vollzeit,1-2,45,Twitter;Instagram;Linkedin
