Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media,option-1,option-2,option-3,option-4,option-5
Participant-17,Zustellereinsatz,weiblich,66+,städtisch,,1-2,45,Instagram;andere Social Media,1.0,5.0,5.0,3.0,1.0
Participant-18,,männlich,66+,städtisch,Teilzeit,1-2,44 ,andere Social Media,1.0,3.0,3.0,1.0,1.0
Participant-39,Arbeitsplätze und oder  menschliche Interaktion ,männlich,26-35,ländlich,Vollzeit,1-2,48599,keine Social Media Nutzung,1.0,3.0,3.0,1.0,2.0
Participant-54,,weiblich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Twitter;Linkedin;andere Social Media,1.0,4.0,4.0,1.0,4.0
Participant-55,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Instagram,5.0,4.0,3.0,1.0,1.0
Participant-71,,weiblich,56-65,städtisch,Vollzeit,3-4,40,keine Social Media Nutzung,4.0,1.0,1.0,2.0,5.0
Participant-86,"Für Menschen am besten, wenn keine Roboter ihre Arbeit übernehmen, ausser es gibt das bedingungslose Grundeinkommen. Mit dem Anderen, dass kann ich mir gut vorstellen, es muss nicht immer alles sofort verfügbar sein.",weiblich,36-45,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung,1.0,5.0,4.0,4.0,1.0
Participant-106,,weiblich,46-55,städtisch,Teilzeit,1-2,45,Facebook;Instagram,1.0,4.0,4.0,1.0,1.0
Participant-110,,weiblich,46-55,städtisch,Teilzeit,1-2,44,Twitter,1.0,1.0,1.0,1.0,1.0
Participant-112,Flexibel,männlich,36-45,städtisch,Vollzeit,1-2,45277 ,keine Social Media Nutzung,4.0,2.0,2.0,1.0,1.0
Participant-116,"Längere Wartezeit für nicht dringende Pakete in Kauf nehmen, ist für mich die einfachste Art für alle, der Umwelt zu helfen.",männlich,26-35,städtisch,Vollzeit,3-4,45,Facebook;Linkedin;andere Social Media,5.0,4.0,3.0,1.0,1.0
Participant-121,Co2 einsparen.pakete erst mal sammeln,weiblich,36-45,städtisch,Vollzeit,3-4,45,Facebook;Instagram;andere Social Media,2.0,1.0,4.0,2.0,1.0
Participant-124,,männlich,56-65,städtisch,Vollzeit,1-2,44,andere Social Media,1.0,5.0,5.0,1.0,2.0
Participant-127,,männlich,36-45,städtisch,Vollzeit,3-4,42,keine Social Media Nutzung,1.0,3.0,3.0,1.0,1.0
Participant-132,"Wenn der Zusteller gut ist, dann möchte ich eine Person haben.",männlich,56-65,städtisch,Vollzeit,1-2,D-20,Facebook;andere Social Media,1.0,5.0,5.0,5.0,1.0
Participant-133,,weiblich,17-25,städtisch,Vollzeit,3-4,45326 ,Instagram,2.0,1.0,2.0,2.0,1.0
Participant-148,,weiblich,46-55,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung,1.0,2.0,3.0,1.0,
Participant-150,,männlich,17-25,städtisch,Teilzeit,3-4,45,Twitter;Instagram,3.0,1.0,1.0,1.0,2.0
Participant-151,,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram,4.0,1.0,1.0,3.0,4.0
Participant-153,Erhaltung des Arbeitsplatzes plus Emmissionsreduzierung.,männlich,56-65,städtisch,Vollzeit,1-2,44809,keine Social Media Nutzung,1.0,4.0,4.0,2.0,1.0
Participant-172,,weiblich,56-65,städtisch,Vollzeit,3-4,45,Twitter;andere Social Media,1.0,5.0,1.0,3.0,1.0
Participant-185,Das hält Menschen in Arbeit und wer Arbeit hat ist in unserer Gesellschaft anerkannter.,männlich,46-55,städtisch,Vollzeit,1-2,40,keine Social Media Nutzung,1.0,5.0,5.0,2.0,1.0
Participant-189,,männlich,36-45,städtisch,Vollzeit,3-4,45,Instagram;andere Social Media,4.0,1.0,1.0,5.0,5.0
Participant-199,,männlich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Instagram,1.0,1.0,3.0,3.0,2.0
Participant-202,,weiblich,36-45,städtisch,Teilzeit,3-4,44,Facebook;Instagram,1.0,1.0,1.0,1.0,1.0
Participant-211,,männlich,36-45,städtisch,Vollzeit,3-4,45145,Facebook,4.0,1.0,1.0,2.0,3.0
Participant-212,,männlich,46-55,städtisch,Vollzeit,1-2,40,Instagram,1.0,3.0,2.0,1.0,3.0
Participant-213,Weil es immer noch die klassische und schnellste zustell Variante ist. ,,36-45,ländlich,Vollzeit,1-2,58,Facebook,1.0,2.0,3.0,2.0,1.0
Participant-225,,männlich,36-45,städtisch,Vollzeit,1-2,46xxx und 44xxx,Facebook;Twitter;Instagram,3.0,4.0,5.0,1.0,1.0
Participant-228,,männlich,56-65,städtisch,Vollzeit,1-2,45,Facebook;Twitter;Instagram;Linkedin,1.0,,1.0,,
Participant-235,"Der Lieferer liefert einmal am Tag alles aus, so weiß ich wann er kommt und kann meine Pakete annehmen. Da ich meistens arbeite wenn Pakete kommen, wäre das super für mich.",weiblich,26-35,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung,1.0,1.0,1.0,1.0,1.0
Participant-238,,weiblich,17-25,städtisch,Teilzeit,3-4,45,Facebook;Instagram,1.0,2.0,1.0,2.0,1.0
Participant-246,,männlich,56-65,städtisch,Vollzeit,3-4,44577,Linkedin,1.0,2.0,2.0,1.0,3.0
Participant-247,,männlich,56-65,städtisch,Vollzeit,3-4,44577,Linkedin,1.0,2.0,2.0,1.0,3.0
Participant-256,Ich möchte nicht das Arbeitsplätze in Gefahr kommen.,weiblich,36-45,städtisch,Teilzeit,3-4,63808,Facebook,1.0,3.0,3.0,1.0,1.0
Participant-270,,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook;Instagram,1.0,,,1.0,2.0
Participant-283,spricht mich mehr an,weiblich,66+,städtisch,Teilzeit,1-2,44,Facebook,1.0,1.0,1.0,4.0,3.0
Participant-307,"Menschen brauchen Arbeit, daher keine Roboter oder Drohnen. Paketstationen gibt es schon immer.  Wartezeiten sollten normal sein. Aber die Leute bestellen was und bestehen darauf, dass sie es am nächsten Tag erhalten. Wozu diese Hast? Selbstgerechte egoistische Leute....",weiblich,46-55,städtisch,Vollzeit,1-2,44789,Facebook;andere Social Media,1.0,5.0,5.0,1.0,1.0
Participant-312,Zum Schutz der Umwelt ,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram,1.0,2.0,2.0,2.0,1.0
Participant-313,selbstverständlich wegen dem klima,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram;andere Social Media,1.0,1.0,1.0,1.0,1.0
Participant-317,,weiblich,36-45,städtisch,Teilzeit,3-4,48,Facebook;andere Social Media,1.0,3.0,3.0,2.0,1.0
Participant-323,,männlich,66+,städtisch,,1-2,45,Facebook;Instagram;andere Social Media,2.0,5.0,2.0,1.0,1.0
Participant-326,Auslieferung durch einen Menschen oder Abholung ,weiblich,56-65,städtisch,Teilzeit,1-2,46,Linkedin;andere Social Media,1.0,5.0,5.0,1.0,1.0
Participant-329,Optionen ergänzen sich ,weiblich,36-45,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung,2.0,4.0,1.0,1.0,1.0
Participant-331,Sachgerecht gute Optionen .,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung,1.0,4.0,5.0,1.0,5.0
Participant-337,,männlich,56-65,ländlich,Vollzeit,1-2,41,Facebook;Instagram;Linkedin,1.0,1.0,1.0,1.0,1.0
Participant-343,,weiblich,26-35,städtisch,Vollzeit,1-2,45276,Facebook;Instagram;andere Social Media,2.0,5.0,3.0,1.0,1.0
Participant-355,,männlich,46-55,städtisch,Vollzeit,3-4,,keine Social Media Nutzung,1.0,5.0,5.0,1.0,1.0
Participant-358,,männlich,17-25,städtisch,Teilzeit,4+,45,Instagram,4.0,1.0,1.0,5.0,1.0
