"Timestamp","ist Ihnen Umweltschutz wichtig?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Spielt das max. Paketgewicht von 2 KG für Sie eine Rolle?","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Wenn Sie bereit sind zu warten, wie lange würden Sie warten?","Haben Sie Ergänzungen oder andere Vorschläge?","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz nur eines Zustellers ]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von autonomen (fahrerlosen) Robotern]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Drohnen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Packstationen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Längere Wartezeiten in Kauf nehmen ]","Und warum war es Ihr Favorit?","Was halten Sie von der Möglichkeit, sich anzeigen zu lassen,wieviel CO2 Sie persönlich durch eine Aktion eingespart haben.","Geschlecht","Alter","Berufstätigkeit ","Haushaltsgröße","Wie sind die ersten beiden Ziffern ihrer PLZ:","Wohnsituation","Social Media:                                                                           Ich nutze folgende Dienste:"
"2021/06/01 11:08:08 am EET","außerordentlich","0,10 - 0,50 Euro","nein, keine Vorschläge","","","","","","","","","","","1","3","2","3","3","Es hat die meisten Vorteile","ganz nett","männlich","66+","Teilzeit","1-2","44","städtisch","Facebook;Twitter;Instagram;Linkedin"
"2021/06/01 11:32:41 am EET","ja","1,51 - 2,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","5","3","3","2","3","","brauche ich nicht","männlich","56-65","","1-2","12","städtisch","Facebook;Instagram"
"2021/06/01 11:35:15 am EET","nicht immer","0,51 - 1,00 Euro","","","","","","","","","","","","1","4","5","2","3","Für mich persönlich die optimale Lösung","ganz nett","männlich","46-55","Vollzeit","1-2","44","städtisch","Facebook"
"2021/06/01 9:42:18 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","5","5","2","2","","ganz nett","weiblich","66+","Teilzeit","1-2","45","städtisch","keine Social Media Nutzung"
"2021/06/02 6:13:32 am EET","außerordentlich","0,10 - 0,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","4","2","2","1","3","Weil oft viele Pakete verteilt über den Tag ankommen, das kann besser geregelt werden und somit die Fahrer und den Verkehr entlasten. Ich wäre auch  bereit das mit den längeren Wartezeiten zu kombinieren und somit mehr die Umwelt zu entlasten. ","außerordentlich gut","weiblich","26-35","Vollzeit","3-4","45","städtisch","Facebook"
"2021/06/03 12:18:50 pm EET","ja","0,10 - 0,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu drei Tagen","","1","4","4","3","3","","brauche ich nicht","männlich","26-35","Vollzeit","1-2","04","städtisch","Instagram"
"2021/06/03 12:23:47 pm EET","ja","0,51 - 1,00 Euro","Uhrzeit vorher bekannt geben, sodass man eine Möglichkeit hat zuhause zu sein (2. Zustellversuch vermeiden) ","um die Preise für die Paketauslieferung zu senken","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","","max. einen Tag","","3","2","2","1","4","","ganz nett","weiblich","26-35","Vollzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 12:24:29 pm EET","ja","0,10 - 0,50 Euro","","","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","1","5","4","2","3","","ganz nett","männlich","46-55","Vollzeit","3-4","45","städtisch","Facebook;Twitter;Instagram;Linkedin;andere Social Media"
"2021/06/03 12:25:59 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","nein, weil meine Pakete nie so viel wiegen","","ja, wenn das Paket zu schwer ist","","","","","2","4","3","1","5","Ich nutze die Parkstation sehr gerne und viel, weil ich damit flexibel bin ","brauche ich nicht","männlich","26-35","Vollzeit","1-2","40","städtisch","keine Social Media Nutzung"
"2021/06/03 12:28:24 pm EET","nicht immer","1,01 - 1,50 Euro","","","","","","","","","","","","1","","4","2","3","","ganz nett","weiblich","26-35","Vollzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 12:29:03 pm EET","ja","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","2","5","3","4","","gut","weiblich","26-35","Vollzeit","3-4","26","städtisch","Facebook;Instagram"
"2021/06/03 12:29:31 pm EET","nicht immer","0,10 - 0,50 Euro","","","","","","","","","","","","2","5","5","3","4","","ganz nett","männlich","46-55","Vollzeit","1-2","45136","städtisch","keine Social Media Nutzung"
"2021/06/03 12:29:33 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","nein, weil meine Pakete nie so viel wiegen;ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","4","4","2","1","5","Packstation","brauche ich nicht","männlich","56-65","Vollzeit","3-4","40764","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 12:31:03 pm EET","ja","","","","","","","","ja, wenn das Paket zu schwer ist","Größeres Netz an Packstationen","","","","4","5","3","1","3","","brauche ich nicht","männlich","36-45","Vollzeit","3-4","14","städtisch","Facebook"
"2021/06/03 12:40:45 pm EET","außerordentlich","0,10 - 0,50 Euro","","","","","nein, ich berücksichtige das Gewicht bei der Bestellung","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","2","4","3","5","1","","außerordentlich gut","weiblich","56-65","Teilzeit","1-2","44","städtisch","Facebook"
"2021/06/03 12:47:04 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Wenn ich eine Benachrichtigung per email erhalte, kann ich auf dem Rückweg von der Arbeit das Paket abholen.","","","","2","3","5","1","4","Weil ich bei Paketstationen unabhängig bin! Da ich oft nicht zu Hause bin, wäre das für mich die OPTIMALE Lösung!","ganz nett","weiblich","56-65","Teilzeit","1-2","22","städtisch","Facebook;andere Social Media"
"2021/06/03 12:49:17 pm EET","außerordentlich","1,01 - 1,50 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, deshalb müssen auch schwere Pakete befördert werden können.","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","1","5","5","3","1","Zustellereinsatz","außerordentlich gut","weiblich","66+","","1-2","45","städtisch","Instagram;andere Social Media"
"2021/06/03 12:49:38 pm EET","ja","1,01 - 1,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","","","1","3","3","1","1","","ganz nett","männlich","66+","Teilzeit","1-2","44 ","städtisch","andere Social Media"
"2021/06/03 12:56:00 pm EET","ja","0,10 - 0,50 Euro","","","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu drei Tagen","","2","5","3","1","2","","gut","weiblich","46-55","","1-2","44","städtisch","andere Social Media"
"2021/06/03 1:00:06 pm EET","ja","","","","","","","","ja, wenn das Paket zu schwer ist","","","","","2","5","3","1","4","Packstationen liegen auf meinem Weg und können jederzeit genutzt werden","gut","weiblich","46-55","Teilzeit","3-4","40","städtisch","andere Social Media"
"2021/06/03 1:05:19 pm EET","ja","keine weitere Gebühr","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","3","2","4","4","2","","gut","weiblich","26-35","Vollzeit","1-2","42","ländlich","Facebook;Instagram"
"2021/06/03 1:06:08 pm EET","ja","0,10 - 0,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","max. einen Tag","","1","4","3","2","2","","ganz nett","weiblich","36-45","Vollzeit","1-2","48","städtisch","Facebook;Twitter;Instagram;Linkedin;andere Social Media"
